# Thermal oxide on silicon - n, k=0
# Malitson 1965 fused-silica Sellmeier + a constant 0.0027: thermal oxide
# is denser than fused silica. The offset is empirical, not from a source.
wl_nm,n,k
250,1.510214,0.000000
255,1.507588,0.000000
260,1.505147,0.000000
265,1.502874,0.000000
270,1.500752,0.000000
275,1.498767,0.000000
280,1.496908,0.000000
285,1.495163,0.000000
290,1.493524,0.000000
295,1.491980,0.000000
300,1.490525,0.000000
305,1.489152,0.000000
310,1.487854,0.000000
315,1.486625,0.000000
320,1.485462,0.000000
325,1.484358,0.000000
330,1.483310,0.000000
335,1.482313,0.000000
340,1.481365,0.000000
345,1.480463,0.000000
350,1.479602,0.000000
355,1.478781,0.000000
360,1.477996,0.000000
365,1.477247,0.000000
370,1.476530,0.000000
375,1.475844,0.000000
380,1.475186,0.000000
385,1.474556,0.000000
390,1.473951,0.000000
395,1.473370,0.000000
400,1.472812,0.000000
405,1.472276,0.000000
410,1.471760,0.000000
415,1.471264,0.000000
420,1.470786,0.000000
425,1.470325,0.000000
430,1.469881,0.000000
435,1.469452,0.000000
440,1.469038,0.000000
445,1.468639,0.000000
450,1.468252,0.000000
455,1.467879,0.000000
460,1.467518,0.000000
465,1.467169,0.000000
470,1.466830,0.000000
475,1.466502,0.000000
480,1.466185,0.000000
485,1.465877,0.000000
490,1.465578,0.000000
495,1.465288,0.000000
500,1.465007,0.000000
505,1.464733,0.000000
510,1.464468,0.000000
515,1.464209,0.000000
520,1.463958,0.000000
525,1.463714,0.000000
530,1.463476,0.000000
535,1.463245,0.000000
540,1.463020,0.000000
545,1.462800,0.000000
550,1.462586,0.000000
555,1.462377,0.000000
560,1.462174,0.000000
565,1.461975,0.000000
570,1.461782,0.000000
575,1.461592,0.000000
580,1.461408,0.000000
585,1.461227,0.000000
590,1.461051,0.000000
595,1.460878,0.000000
600,1.460709,0.000000
605,1.460544,0.000000
610,1.460383,0.000000
615,1.460225,0.000000
620,1.460070,0.000000
625,1.459918,0.000000
630,1.459770,0.000000
635,1.459624,0.000000
640,1.459481,0.000000
645,1.459341,0.000000
650,1.459204,0.000000
655,1.459069,0.000000
660,1.458937,0.000000
665,1.458807,0.000000
670,1.458680,0.000000
675,1.458554,0.000000
680,1.458431,0.000000
685,1.458310,0.000000
690,1.458191,0.000000
695,1.458074,0.000000
700,1.457959,0.000000
705,1.457846,0.000000
710,1.457735,0.000000
715,1.457625,0.000000
720,1.457517,0.000000
725,1.457411,0.000000
730,1.457306,0.000000
735,1.457203,0.000000
740,1.457101,0.000000
745,1.457001,0.000000
750,1.456902,0.000000
755,1.456805,0.000000
760,1.456708,0.000000
765,1.456613,0.000000
770,1.456520,0.000000
775,1.456427,0.000000
780,1.456336,0.000000
785,1.456246,0.000000
790,1.456157,0.000000
795,1.456068,0.000000
800,1.455981,0.000000
805,1.455895,0.000000
810,1.455810,0.000000
815,1.455726,0.000000
820,1.455643,0.000000
825,1.455561,0.000000
830,1.455479,0.000000
835,1.455399,0.000000
840,1.455319,0.000000
845,1.455240,0.000000
850,1.455162,0.000000
855,1.455084,0.000000
860,1.455007,0.000000
865,1.454931,0.000000
870,1.454856,0.000000
875,1.454781,0.000000
880,1.454707,0.000000
885,1.454634,0.000000
890,1.454561,0.000000
895,1.454488,0.000000
900,1.454417,0.000000
905,1.454346,0.000000
910,1.454275,0.000000
915,1.454205,0.000000
920,1.454135,0.000000
925,1.454066,0.000000
930,1.453998,0.000000
935,1.453929,0.000000
940,1.453862,0.000000
945,1.453794,0.000000
950,1.453728,0.000000
955,1.453661,0.000000
960,1.453595,0.000000
965,1.453529,0.000000
970,1.453464,0.000000
975,1.453399,0.000000
980,1.453335,0.000000
985,1.453270,0.000000
990,1.453206,0.000000
995,1.453143,0.000000
1000,1.453080,0.000000
1005,1.453017,0.000000
1010,1.452954,0.000000
1015,1.452892,0.000000
1020,1.452829,0.000000
1025,1.452768,0.000000
1030,1.452706,0.000000
1035,1.452645,0.000000
1040,1.452583,0.000000
1045,1.452523,0.000000
1050,1.452462,0.000000
1055,1.452401,0.000000
1060,1.452341,0.000000
1065,1.452281,0.000000
