# Titanium dioxide (rutile) - ORDINARY ray - n, k
# n over 430-1530 nm from the Sellmeier equation of
#   J. R. Devore, J. Opt. Soc. Am. 41, 416 (1951).
# Below ~370 nm the band edge (n rising, k>0) is an empirical ramp with no
# published source: use the UV of this material with care.
# Rutile is birefringent: the extraordinary ray is NOT in this file.
wl_nm,n,k
250,2.400000,1.800000
255,2.380000,1.650000
260,2.370000,1.500000
265,2.380000,1.350000
270,2.400000,1.200000
275,2.440000,1.050000
280,2.500000,0.900000
285,2.580000,0.750000
290,2.680000,0.600000
295,2.800000,0.460000
300,2.950000,0.350000
310,3.120000,0.220000
320,3.220000,0.120000
330,3.280000,0.055000
340,3.300000,0.022000
350,3.310000,0.008000
360,3.310000,0.003000
370,3.300000,0.001000
380,3.280000,0.000000
390,3.051675,0.000000
395,3.022665,0.000000
400,2.995953,0.000000
405,2.971279,0.000000
410,2.948420,0.000000
415,2.927187,0.000000
420,2.907415,0.000000
425,2.888960,0.000000
430,2.871698,0.000000
435,2.855519,0.000000
440,2.840327,0.000000
445,2.826035,0.000000
450,2.812569,0.000000
455,2.799860,0.000000
460,2.787849,0.000000
465,2.776480,0.000000
470,2.765706,0.000000
475,2.755482,0.000000
480,2.745769,0.000000
485,2.736531,0.000000
490,2.727734,0.000000
495,2.719350,0.000000
500,2.711350,0.000000
505,2.703711,0.000000
510,2.696409,0.000000
515,2.689423,0.000000
520,2.682734,0.000000
525,2.676324,0.000000
530,2.670178,0.000000
535,2.664279,0.000000
540,2.658614,0.000000
545,2.653170,0.000000
550,2.647935,0.000000
555,2.642897,0.000000
560,2.638047,0.000000
565,2.633374,0.000000
570,2.628870,0.000000
575,2.624525,0.000000
580,2.620333,0.000000
585,2.616285,0.000000
590,2.612375,0.000000
595,2.608596,0.000000
600,2.604942,0.000000
605,2.601407,0.000000
610,2.597986,0.000000
615,2.594674,0.000000
620,2.591466,0.000000
625,2.588358,0.000000
630,2.585344,0.000000
635,2.582422,0.000000
640,2.579587,0.000000
645,2.576836,0.000000
650,2.574165,0.000000
655,2.571571,0.000000
660,2.569051,0.000000
665,2.566603,0.000000
670,2.564222,0.000000
675,2.561907,0.000000
680,2.559656,0.000000
685,2.557465,0.000000
