# Schott N-BK7 borosilicate glass - n, k=0
# Computed from the Sellmeier coefficients of the Schott N-BK7 datasheet.
# Below 300 nm the datasheet range is left behind: extrapolation.
wl_nm,n,k
250,1.578110,0.0
260,1.571475,0.0
270,1.565786,0.0
280,1.560859,0.0
290,1.556556,0.0
300,1.552770,0.0
310,1.549417,0.0
320,1.546429,0.0
330,1.543752,0.0
340,1.541344,0.0
350,1.539166,0.0
360,1.537190,0.0
370,1.535390,0.0
380,1.533745,0.0
390,1.532236,0.0
400,1.530849,0.0
410,1.529569,0.0
420,1.528385,0.0
430,1.527288,0.0
440,1.526269,0.0
450,1.525320,0.0
460,1.524433,0.0
470,1.523605,0.0
480,1.522829,0.0
490,1.522100,0.0
500,1.521414,0.0
510,1.520769,0.0
520,1.520160,0.0
530,1.519584,0.0
540,1.519039,0.0
550,1.518522,0.0
560,1.518032,0.0
570,1.517566,0.0
580,1.517122,0.0
590,1.516699,0.0
600,1.516295,0.0
610,1.515909,0.0
620,1.515539,0.0
630,1.515186,0.0
640,1.514846,0.0
650,1.514520,0.0
660,1.514207,0.0
670,1.513905,0.0
680,1.513615,0.0
690,1.513335,0.0
700,1.513064,0.0
710,1.512802,0.0
720,1.512549,0.0
730,1.512304,0.0
740,1.512067,0.0
750,1.511836,0.0
760,1.511613,0.0
770,1.511395,0.0
780,1.511183,0.0
790,1.510977,0.0
800,1.510776,0.0
810,1.510580,0.0
820,1.510389,0.0
830,1.510202,0.0
840,1.510019,0.0
850,1.509840,0.0
860,1.509665,0.0
870,1.509493,0.0
880,1.509325,0.0
890,1.509159,0.0
900,1.508997,0.0
910,1.508837,0.0
920,1.508680,0.0
930,1.508526,0.0
940,1.508373,0.0
950,1.508223,0.0
960,1.508075,0.0
970,1.507929,0.0
980,1.507785,0.0
990,1.507643,0.0
1000,1.507502,0.0
1010,1.507363,0.0
1020,1.507225,0.0
1030,1.507089,0.0
1040,1.506954,0.0
1050,1.506820,0.0
1060,1.506688,0.0
1070,1.506556,0.0
1080,1.506425,0.0
1090,1.506296,0.0
1100,1.506167,0.0
1110,1.506039,0.0
1120,1.505912,0.0
1130,1.505786,0.0
1140,1.505660,0.0
1150,1.505535,0.0
1160,1.505410,0.0
1170,1.505286,0.0
1180,1.505162,0.0
1190,1.505039,0.0
1200,1.504917,0.0
1210,1.504794,0.0
1220,1.504672,0.0
1230,1.504550,0.0
1240,1.504429,0.0
1250,1.504308,0.0
1260,1.504186,0.0
1270,1.504066,0.0
1280,1.503945,0.0
1290,1.503824,0.0
1300,1.503703,0.0
1310,1.503583,0.0
1320,1.503462,0.0
1330,1.503342,0.0
1340,1.503221,0.0
1350,1.503101,0.0
1360,1.502980,0.0
1370,1.502859,0.0
1380,1.502739,0.0
1390,1.502618,0.0
1400,1.502496,0.0
1410,1.502375,0.0
1420,1.502254,0.0
1430,1.502132,0.0
1440,1.502010,0.0
1450,1.501888,0.0
1460,1.501766,0.0
1470,1.501643,0.0
1480,1.501521,0.0
1490,1.501397,0.0
1500,1.501274,0.0
1510,1.501150,0.0
1520,1.501026,0.0
1530,1.500902,0.0
1540,1.500777,0.0
1550,1.500652,0.0
1560,1.500527,0.0
1570,1.500401,0.0
1580,1.500274,0.0
1590,1.500148,0.0
1600,1.500021,0.0
1610,1.499893,0.0
1620,1.499765,0.0
1630,1.499637,0.0
1640,1.499508,0.0
1650,1.499379,0.0
1660,1.499249,0.0
1670,1.499119,0.0
1680,1.498988,0.0
1690,1.498857,0.0
1700,1.498725,0.0
1710,1.498593,0.0
1720,1.498460,0.0
1730,1.498326,0.0
1740,1.498193,0.0
1750,1.498058,0.0
1760,1.497923,0.0
1770,1.497788,0.0
1780,1.497652,0.0
1790,1.497515,0.0
1800,1.497378,0.0
1810,1.497240,0.0
1820,1.497101,0.0
1830,1.496962,0.0
1840,1.496823,0.0
1850,1.496683,0.0
1860,1.496542,0.0
1870,1.496400,0.0
1880,1.496258,0.0
1890,1.496115,0.0
1900,1.495972,0.0
1910,1.495828,0.0
1920,1.495683,0.0
1930,1.495538,0.0
1940,1.495392,0.0
1950,1.495245,0.0
1960,1.495098,0.0
1970,1.494950,0.0
1980,1.494801,0.0
1990,1.494652,0.0
2000,1.494502,0.0
2010,1.494351,0.0
2020,1.494199,0.0
2030,1.494047,0.0
2040,1.493894,0.0
2050,1.493741,0.0
2060,1.493586,0.0
2070,1.493431,0.0
2080,1.493275,0.0
2090,1.493119,0.0
2100,1.492962,0.0
2110,1.492804,0.0
2120,1.492645,0.0
2130,1.492485,0.0
2140,1.492325,0.0
2150,1.492164,0.0
2160,1.492002,0.0
2170,1.491840,0.0
2180,1.491676,0.0
2190,1.491512,0.0
2200,1.491347,0.0
2210,1.491182,0.0
2220,1.491015,0.0
2230,1.490848,0.0
2240,1.490680,0.0
2250,1.490511,0.0
2260,1.490341,0.0
2270,1.490171,0.0
2280,1.490000,0.0
2290,1.489828,0.0
2300,1.489655,0.0
2310,1.489481,0.0
2320,1.489306,0.0
2330,1.489131,0.0
2340,1.488955,0.0
2350,1.488778,0.0
2360,1.488600,0.0
2370,1.488421,0.0
2380,1.488241,0.0
2390,1.488061,0.0
2400,1.487879,0.0
2410,1.487697,0.0
2420,1.487514,0.0
2430,1.487330,0.0
2440,1.487145,0.0
2450,1.486960,0.0
2460,1.486773,0.0
2470,1.486586,0.0
2480,1.486397,0.0
2490,1.486208,0.0
